modelo;precio;año;kilometraje;color;pais
Model 3;57375;2024;13;negro;Portugal
Model Y;58735;2025;4;negro;Portugal
Model 3;59775;2024;0;negro;Portugal
Model Y;61475;2025;4;negro;Portugal
Model S;103525;2023;0;negro;Portugal
Model X;108075;2023;34;negro;Portugal
Model X;122025;2023;25;negro;Portugal
Model Y;42300;2022;36306;plata;Portugal
Model 3;43900;2023;14886;plata;Portugal
Model 3;46600;2022;19834;plata;Portugal
Model X;58000;2019;64984;plata;Portugal
Model 3;44675;2025;10;rojo;Portugal
Model 3;52715;2024;12;rojo;Portugal
Model 3;58035;2024;0;rojo;Portugal
Model 3;60475;2024;0;rojo;Portugal
Model S;96075;2024;23;rojo;Portugal
Model S;115745;2024;3393;rojo;Portugal
Model X;116205;2024;26;rojo;Portugal
Model X;126525;2024;31;rojo;Portugal
Model 3;43475;2025;0;gris;Portugal
Model 3;51275;2024;0;gris;Portugal
Model 3;28200;2020;94337;blanco;Francia
Model 3;28900;2020;68845;blanco;Francia
Model 3;30600;2021;112637;blanco;Francia
Model 3;30800;2020;53808;blanco;Francia
Model 3;30700;2020;52917;blanco;Francia
Model 3;31000;2021;57691;blanco;Francia
Model 3;31000;2019;63570;blanco;Francia
Model 3;31100;2020;49251;blanco;Francia
Model 3;31200;2021;46308;blanco;Francia
Model 3;31300;2021;79887;blanco;Francia
Model 3;31800;2020;61733;blanco;Francia
Model 3;32000;2021;76126;blanco;Francia
Model 3;31800;2020;55927;blanco;Francia
Model 3;32200;2020;44365;blanco;Francia
Model 3;33300;2020;65224;blanco;Francia
Model 3;32800;2021;37680;blanco;Francia
Model 3;33900;2021;24781;blanco;Francia
Model 3;34700;2020;40623;blanco;Francia
Model 3;39400;2021;31909;blanco;Francia
Model 3;39990;2025;10;blanco;Francia
Model Y;40990;2025;5;blanco;Francia
Model Y;40990;2025;226;blanco;Francia
Model Y;40990;2024;9;blanco;Francia
Model 3;41180;2025;0;blanco;Francia
Model 3;41180;2024;0;blanco;Francia
Model 3;41340;2025;0;blanco;Francia
Model Y;42180;2025;5;blanco;Francia
Model 3;42530;2025;0;blanco;Francia
Model 3;42530;2024;0;blanco;Francia
Model Y;43090;2024;10;blanco;Francia
Model S;43400;2019;96688;blanco;Francia
Model Y;44280;2024;7;blanco;Francia
Model 3;44990;2025;10;blanco;Francia
Model 3;45140;2025;13;blanco;Francia
Model 3;45380;2024;9561;blanco;Francia
Model Y;46800;2022;20423;blanco;Francia
Model Y;46990;2025;0;blanco;Francia
Model 3;47240;2024;6399;blanco;Francia
Model 3;47490;2024;5741;blanco;Francia
Model 3;47540;2024;2337;blanco;Francia
Model Y;47800;2025;5;blanco;Francia
Model Y;47990;2025;0;blanco;Francia
Model Y;47990;2024;5;blanco;Francia
Model 3;48620;2024;15;blanco;Francia
Model Y;49180;2025;0;blanco;Francia
Model Y;49180;2024;0;blanco;Francia
Model Y;49180;2024;6;blanco;Francia
Model Y;49340;2025;0;blanco;Francia
Model Y;49340;2024;4;blanco;Francia
Model Y;49530;2025;5;blanco;Francia
Model Y;49770;2025;0;blanco;Francia
Model 3;49990;2025;0;blanco;Francia
Model 3;49990;2024;0;blanco;Francia
Model Y;50090;2025;0;blanco;Francia
Model Y;50790;2024;0;blanco;Francia
Model Y;51110;2025;9;blanco;Francia
Model 3;51180;2025;0;blanco;Francia
Model 3;51180;2024;0;blanco;Francia
Model Y;51280;2025;0;blanco;Francia
Model 3;51340;2024;0;blanco;Francia
Model Y;51440;2025;0;blanco;Francia
Model Y;51850;2025;0;blanco;Francia
Model 3;52080;2024;15;blanco;Francia
Model 3;52370;2024;0;blanco;Francia
Model 3;52530;2024;0;blanco;Francia
Model Y;52630;2024;7;blanco;Francia
Model Y;52850;2024;15;blanco;Francia
Model 3;53790;2024;0;blanco;Francia
Model Y;53990;2025;0;blanco;Francia
Model X;54000;2020;53949;blanco;Francia
Model X;54100;2020;91785;blanco;Francia
Model 3;55160;2024;9;blanco;Francia
Model Y;55180;2025;4;blanco;Francia
Model Y;55180;2024;0;blanco;Francia
Model Y;55340;2024;0;blanco;Francia
Model 3;57490;2024;0;blanco;Francia
Model Y;57790;2025;0;blanco;Francia
Model 3;58680;2024;0;blanco;Francia
Model Y;59140;2025;2;blanco;Francia
Model S;83980;2023;3414;blanco;Francia
Model S;90200;2024;723;blanco;Francia
Model X;103390;2024;21;blanco;Francia
Model S;115290;2024;25;blanco;Francia
Model X;117090;2023;0;blanco;Francia
Model X;120890;2024;0;blanco;Francia
Model 3;30000;2020;56115;azul;Francia
Model 3;30900;2021;50581;azul;Francia
Model 3;31700;2020;22191;azul;Francia
Model 3;32600;2020;78898;azul;Francia
Model 3;34100;2021;90951;azul;Francia
Model 3;38000;2021;43763;azul;Francia
Model 3;40080;2024;13;azul;Francia
Model 3;40520;2024;1848;azul;Francia
Model 3;40640;2024;807;azul;Francia
Model 3;41140;2024;0;azul;Francia
Model 3;41170;2024;21;azul;Francia
Model 3;41290;2025;0;azul;Francia
Model 3;41440;2024;15;azul;Francia
Model 3;41440;2024;15;azul;Francia
Model 3;41440;2024;29;azul;Francia
Model 3;41440;2024;2629;azul;Francia
Model 3;42480;2024;0;azul;Francia
Model 3;42480;2024;0;azul;Francia
Model 3;42640;2025;0;azul;Francia
Model 3;42640;2024;0;azul;Francia
Model Y;43480;2025;5;azul;Francia
Model X;44200;2019;114328;azul;Francia
Model Y;49290;2025;0;azul;Francia
Model 3;49330;2024;0;azul;Francia
Model 3;50170;2024;1412;azul;Francia
Model Y;50390;2025;4;azul;Francia
Model 3;50600;2024;15;azul;Francia
Model Y;50640;2025;4;azul;Francia
Model 3;51290;2025;0;azul;Francia
Model 3;51290;2024;0;azul;Francia
Model Y;51390;2025;4;azul;Francia
Model Y;51390;2024;7;azul;Francia
Model S;51500;2020;96181;azul;Francia
Model Y;52390;2025;5;azul;Francia
Model 3;52480;2024;0;azul;Francia
Model 3;52480;2024;0;azul;Francia
Model 3;52640;2024;0;azul;Francia
Model Y;53090;2025;4;azul;Francia
Model S;53550;2020;58870;azul;Francia
Model Y;55290;2025;5;azul;Francia
Model Y;56640;2025;4;azul;Francia
Model Y;57830;2025;0;azul;Francia
Model 3;58790;2025;12;azul;Francia
Model 3;62590;2024;19;azul;Francia
Model S;89220;2024;1064;azul;Francia
Model S;96400;2023;50;azul;Francia
Model X;113040;2024;401;azul;Francia
Model X;118690;2023;60;azul;Francia
Model X;124890;2023;31;azul;Francia
Model 3;31200;2019;55066;negro;Francia
Model 3;33400;2020;63684;negro;Francia
Model 3;33700;2019;51506;negro;Francia
Model 3;35300;2023;36843;negro;Francia
Model 3;36500;2023;28589;negro;Francia
Model S;38000;2018;84325;negro;Francia
Model 3;41140;2024;15;negro;Francia
Model 3;41290;2025;0;negro;Francia
Model 3;41290;2024;12;negro;Francia
Model S;41400;2019;102621;negro;Francia
Model 3;42080;2024;12;negro;Francia
Model 3;42480;2025;0;negro;Francia
Model 3;42480;2024;0;negro;Francia
Model 3;42640;2025;0;negro;Francia
Model 3;42640;2024;0;negro;Francia
Model 3;42640;2024;10;negro;Francia
Model 3;42640;2024;12;negro;Francia
Model Y;44390;2025;4;negro;Francia
Model Y;44390;2024;9;negro;Francia
Model S;44500;2019;99838;negro;Francia
Model 3;46290;2025;0;negro;Francia
Model 3;47480;2025;9;negro;Francia
Model 3;47480;2025;12;negro;Francia
Model Y;47830;2024;0;negro;Francia
Model 3;48500;2024;6166;negro;Francia
Model Y;48800;2022;14953;negro;Francia
Model Y;49290;2025;0;negro;Francia
Model Y;49290;2024;0;negro;Francia
Model Y;49290;2024;145;negro;Francia
Model Y;50480;2025;2;negro;Francia
Model 3;50600;2024;12;negro;Francia
Model Y;50640;2025;0;negro;Francia
Model 3;51290;2025;0;negro;Francia
Model 3;51290;2025;10;negro;Francia
Model 3;51290;2024;0;negro;Francia
Model Y;51390;2025;0;negro;Francia
Model Y;51390;2024;5;negro;Francia
Model X;51800;2019;95034;negro;Francia
Model Y;51830;2025;2;negro;Francia
Model 3;52480;2024;0;negro;Francia
Model Y;52580;2024;7;negro;Francia
Model Y;53090;2025;4;negro;Francia
Model Y;53090;2024;4;negro;Francia
Model Y;53890;2025;4;negro;Francia
Model Y;54280;2025;5;negro;Francia
