kilometraje;precio;año;modelo_Model 3;modelo_Model S;modelo_Model X;modelo_Model Y;color_azul;color_blanco;color_gris;color_marron;color_negro;color_plata;color_rojo;pais_España;pais_Francia;pais_Portugal
0;59675;2025;True;False;False;False;False;True;False;False;False;False;False;False;False;True
12;62275;2024;True;False;False;False;False;True;False;False;False;False;False;False;False;True
7046;95025;2024;False;True;False;False;False;True;False;False;False;False;False;False;False;True
1278;98665;2023;False;True;False;False;False;True;False;False;False;False;False;False;False;True
17;115925;2024;False;True;False;False;False;True;False;False;False;False;False;False;False;True
9;42645;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
0;44715;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
0;45795;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
7458;49325;2024;True;False;False;False;True;False;False;False;False;False;False;False;False;True
5887;49995;2023;False;False;False;True;True;False;False;False;False;False;False;False;False;True
4;51275;2025;False;False;False;True;True;False;False;False;False;False;False;False;False;True
0;52625;2025;False;False;False;True;True;False;False;False;False;False;False;False;False;True
3709;52635;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
5;52755;2025;False;False;False;True;True;False;False;False;False;False;False;False;False;True
0;53795;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
4;54035;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
4034;54985;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
0;56215;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
0;56245;2024;True;False;False;False;True;False;False;False;False;False;False;False;False;True
12;57315;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
6;57345;2025;False;False;False;True;True;False;False;False;False;False;False;False;False;True
0;57375;2024;True;False;False;False;True;False;False;False;False;False;False;False;False;True
7;58455;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
9;59735;2024;False;False;False;True;True;False;False;False;False;False;False;False;False;True
12;61175;2024;True;False;False;False;True;False;False;False;False;False;False;False;False;True
31;106445;2024;False;False;True;False;True;False;False;False;False;False;False;False;False;True
14816;106845;2023;False;False;True;False;True;False;False;False;False;False;False;False;False;True
116;115825;2023;False;False;True;False;True;False;False;False;False;False;False;False;False;True
139637;26500;2019;True;False;False;False;False;False;False;False;True;False;False;False;False;True
81783;32900;2020;True;False;False;False;False;False;False;False;True;False;False;False;False;True
