modelo;kilometraje;precio;color;año;pais
3;948;49460;4;2024;0
3;55;49740;4;2024;0
3;4018;49830;3;2024;0
3;401;49840;4;2024;0
3;4042;50400;5;2024;0
3;0;50410;3;2024;0
3;2501;50950;0;2024;0
3;5;50980;3;2024;0
3;12454;51260;5;2024;0
3;2857;51420;0;2024;0
3;0;51760;4;2024;0
3;0;51760;5;2024;0
3;689;51820;3;2024;0
3;1523;52480;1;2024;0
3;4260;52920;5;2024;0
3;12;52990;1;2024;0
3;26;53050;4;2024;0
3;0;53060;1;2024;0
3;565;54910;4;2024;0
3;2291;55140;4;2024;0
3;9;55350;4;2024;0
3;0;55640;4;2024;0
3;0;56420;4;2024;0
3;612;56740;0;2024;0
3;23;56870;3;2024;0
3;95;56870;3;2024;0
3;7;58350;4;2024;0
3;179;58810;5;2024;0
3;0;58920;5;2024;0
3;0;58970;4;2024;0
3;0;58970;0;2024;0
3;53;59360;3;2024;0
3;831;59960;3;2024;0
3;0;60270;0;2024;0
3;395;61500;1;2024;0
3;0;61620;1;2024;0
3;0;66420;5;2024;0
0;117457;28900;3;2018;0
0;115551;31200;1;2018;0
0;70615;33200;1;2018;0
0;68303;33900;1;2018;0
0;13184;77200;4;2023;0
0;12410;78800;1;2023;0
0;8276;79900;1;2023;0
0;6301;81800;4;2023;0
0;3269;83600;5;2023;0
0;15046;85700;4;2023;0
1;60048;28900;1;2019;0
1;37725;30800;3;2022;0
1;15291;31600;1;2022;0
1;73607;32400;1;2020;0
1;79681;32500;5;2021;0
1;63771;33000;3;2021;0
1;76961;33000;1;2021;0
1;57523;33500;5;2021;0
1;39315;33500;4;2023;0
1;42191;34000;1;2021;0
1;26091;34900;5;2021;0
1;1817;36000;4;2024;0
1;676;37000;4;2024;0
1;728;37000;4;2024;0
1;30168;37100;5;2022;0
1;37484;39500;0;2022;0
1;29447;42300;4;2023;0
1;18395;43200;5;2023;0
1;15795;45000;2;2024;0
2;108045;47900;0;2018;0
2;11765;82500;1;2023;0
2;20074;84000;4;2023;0
2;15048;84600;4;2023;0
2;21475;85500;3;2023;0
3;12146;40500;3;2024;0
3;48582;43800;1;2023;0
1;10;41470;4;2025;0
1;29444;42300;4;2023;0
1;2204;42640;4;2024;0
3;0;44260;4;2025;0
3;8;45310;4;2024;0
3;8686;45370;4;2024;0
3;8298;45420;4;2024;0
1;9;45470;4;2025;0
3;0;46360;4;2025;0
3;0;46760;4;2025;0
3;4462;47490;4;2024;0
3;7086;48060;4;2023;0
3;2516;48070;4;2024;0
3;2036;49040;4;2023;0
1;21;49070;4;2024;0
3;907;49460;4;2024;0
3;400;49840;4;2024;0
3;0;51760;4;2023;0
3;10;56420;4;2025;0
3;0;58970;4;2025;0
0;13178;77200;4;2023;0
0;6300;81800;4;2023;0
2;20073;84000;4;2023;0
2;15035;84600;4;2023;0
0;15040;85700;4;2023;0
2;3649;95860;4;2024;0
0;503;99600;4;2023;0
2;979;100940;4;2024;0
0;0;102270;4;2023;0
0;98;102270;4;2023;0
2;1405;102640;4;2023;0
2;31;104370;4;2023;0
2;3295;106910;4;2023;0
2;0;110270;4;2023;0
2;0;115670;4;2023;0
2;0;118070;4;2023;0
2;92;118070;4;2023;0
1;0;37770;0;2025;0
3;0;45560;0;2025;0
1;25;45770;0;2024;0
3;5128;45890;0;2024;0
1;15;46530;0;2024;0
1;10;46770;0;2024;0
3;4;47660;0;2025;0
2;108044;47900;0;2018;0
3;4;48060;0;2025;0
3;0;49410;0;2025;0
3;9;58970;0;2024;0
1;10;59770;0;2025;0
3;7;60270;0;2024;0
0;6196;88890;0;2023;0
0;942;90270;0;2024;0
1;15290;31600;1;2022;0
1;76956;33000;1;2021;0
0;70614;33200;1;2018;0
0;68302;33900;1;2018;0
1;42189;34000;1;2021;0
1;0;42770;1;2025;0
1;15;43750;1;2024;0
1;9;44370;1;2025;0
3;5624;44770;1;2024;0
1;223;45220;1;2024;0
3;9;47140;1;2024;0
3;0;48060;1;2025;0
3;2;49110;1;2025;0
3;1520;52480;1;2024;0
3;2;53060;1;2025;0
3;6;61620;1;2024;0
2;4022;100570;1;2024;0
2;5310;102220;1;2024;0
0;1700;102320;1;2023;0
2;0;116170;1;2023;0
2;0;119670;1;2023;0
1;63769;33000;3;2021;0
2;21472;85500;3;2023;0
2;0;118070;3;2023;0
1;57522;34100;5;2021;0
1;26089;34900;5;2021;0
1;18379;43200;5;2023;0
1;0;38470;5;2025;0
1;3818;38300;2;2024;0
1;10;46770;2;2025;0
1;13;48120;2;2024;0
1;15;48370;2;2025;0
