modelo;descripcion;kilometraje;precio;autonomia;velocidad_max;time_veloc_max;color;año;pais
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 8297 km;45.420 €;565;217;5,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Tracción trasera;45.560 €;45.560 €;455;217;6,9;Azul Oscuro Metalizado;2024;España
Model Y;Model Y Tracción trasera;45.560 €;45.560 €;455;217;6,9;Color Negro Sólido;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 1317 km;45.660 €;430;217;6,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 5127 km;45.890 €;430;217;6,9;Azul Oscuro Metalizado;2024;España
Model Y;Model Y Tracción trasera;46.360 €;46.360 €;430;217;6,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 4317 km;46.700 €;600;217;5,9;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 1011 km;46.720 €;455;217;6,9;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;46.760 €;46.760 €;600;217;5,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 1991 km;46.840 €;565;217;5,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Tracción trasera;46.860 €;46.860 €;455;217;6,9;Pintura Plateado Mercurio;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 3485 km;46.950 €;600;217;5,9;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;47.140 €;47.140 €;565;217;5,9;Color Negro Sólido;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 4460 km;47.490 €;565;217;5,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Tracción trasera;47.660 €;47.660 €;430;217;6,9;Azul Oscuro Metalizado;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 7086 km;48.060 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;48.060 €;48.060 €;600;217;5,9;Azul Oscuro Metalizado;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;48.060 €;48.060 €;600;217;5,9;Color Negro Sólido;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 2545 km;48.070 €;565;217;5,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 3294 km;48.930 €;565;217;5,9;Pintura Plateado Mercurio;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 2036 km;49.040 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;49.110 €;49.110 €;600;217;5,9;Color Negro Sólido;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;49.360 €;49.360 €;600;217;5,9;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;49.410 €;49.410 €;600;217;5,9;Azul Oscuro Metalizado;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 948 km;49.460 €;565;217;5,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 55 km;49.740 €;565;217;5,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 4018 km;49.830 €;565;217;5,9;Pintura Plateado Mercurio;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 401 km;49.840 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 4042 km;50.400 €;565;217;5,9;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;50.410 €;50.410 €;600;217;5,9;Pintura Plateado Mercurio;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 2501 km;50.950 €;533;217;5;Azul Oscuro Metalizado;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 5 km;50.980 €;565;217;5,9;Pintura Plateado Mercurio;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 12.454 km;51.260 €;533;217;5;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 2857 km;51.420 €;533;217;5;Azul Oscuro Metalizado;2024;España
Model Y;Gran autonomía con tracción integral;51.760 €;51.760 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Gran autonomía con tracción integral;51.760 €;51.760 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;51.760 €;51.760 €;600;217;5,9;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 689 km;51.820 €;565;217;5,9;Pintura Plateado Mercurio;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 1523 km;52.480 €;533;217;5;Color Negro Sólido;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 1523 km;52.480 €;533;217;5;Color Negro Sólido;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 4260 km;52.920 €;533;217;5;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 12 km;52.990 €;533;217;5;Color Negro Sólido;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 26 km;53.050 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Gran autonomía con tracción integral;53.060 €;53.060 €;533;217;5;Color Negro Sólido;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 565 km;54.910 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 2291 km;55.140 €;514;250;3,7;Color Blanco Perla Multicapas;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 9 km;55.350 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 0 km;55.640 €;514;250;3,7;Color Blanco Perla Multicapas;2024;España
Model Y;Gran autonomía con tracción integral;56.420 €;56.420 €;533;217;5;Color Blanco Perla Multicapas;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 612 km;56.740 €;514;250;3,7;Azul Oscuro Metalizado;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 23 km;56.870 €;514;250;3,7;Pintura Plateado Mercurio;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 95 km;56.870 €;514;250;3,7;Pintura Plateado Mercurio;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 7 km;58.350 €;514;250;3,7;Color Blanco Perla Multicapas;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 179 km;58.810 €;514;250;3,7;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Performance con tracción a las cuatro ruedas;58.920 €;58.920 €;514;250;3,7;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Performance con tracción a las cuatro ruedas;58.970 €;58.970 €;514;250;3,7;Color Blanco Perla Multicapas;2024;España
Model Y;Performance con tracción a las cuatro ruedas;58.970 €;58.970 €;514;250;3,7;Azul Oscuro Metalizado;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 53 km;59.360 €;514;250;3,7;Pintura Plateado Mercurio;2024;España
Model Y;Gran autonomía con tracción integral;Cuentakilómetros con 831 km;59.960 €;533;217;5;Pintura Plateado Mercurio;2024;España
Model Y;Performance con tracción a las cuatro ruedas;60.270 €;60.270 €;514;250;3,7;Azul Oscuro Metalizado;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 395 km;61.500 €;514;250;3,7;Color Negro Sólido;2024;España
Model Y;Performance con tracción a las cuatro ruedas;61.620 €;61.620 €;514;250;3,7;Color Negro Sólido;2024;España
Model Y;Performance con tracción a las cuatro ruedas;66.420 €;66.420 €;514;250;3,7;Pintura Rojo Cereza Medianoche;2024;España
Model S;75D;Cuentakilómetros con 117.457 km;28.900 €;490;225;4,4;Metalizada plateada;2018;España
Model S;75D;Cuentakilómetros con 115.551 km;31.200 €;490;225;4,4;Metalizada negra obsidiana;2018;España
Model S;75D;Cuentakilómetros con 70.615 km;33.200 €;490;225;4,4;Pintura negra sólida;2018;España
Model S;75D;Cuentakilómetros con 68.303 km;33.900 €;490;225;4,4;Pintura negra sólida;2018;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 13.184 km;77.200 €;634;250;3,2;Blanco Perla Multicapas;2023;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 12.410 km;78.800 €;634;250;3,2;Negro Sólido;2023;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 8276 km;79.900 €;634;250;3,2;Negro Sólido;2023;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 6301 km;81.800 €;634;250;3,2;Blanco Perla Multicapas;2023;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 3269 km;83.600 €;634;250;3,2;Ultra Rojo;2023;España
Model S;Plaid;Cuentakilómetros con 15.046 km;85.700 €;600;322;2,1;Blanco Perla Multicapas;2023;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 60.048 km;28.900 €;560;233;4,6;Color Negro Sólido;2019;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 37.725 km;30.800 €;491;225;6,1;Plata Medianoche Metalizado;2022;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 15.291 km;31.600 €;491;225;6,1;Color Negro Sólido;2022;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 73.607 km;32.400 €;560;233;4,6;Color Negro Sólido;2020;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 79.681 km;32.500 €;580;233;4,4;Color Multicapas Rojo;2021;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 63.771 km;33.000 €;580;233;4,4;Plata Medianoche Metalizado;2021;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 76.961 km;33.000 €;614;233;4,4;Color Negro Sólido;2021;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 57.523 km;33.500 €;580;233;4,4;Color Multicapas Rojo;2021;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 39.315 km;33.500 €;491;225;6,1;Color Blanco Perla Multicapas;2023;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 42.191 km;34.000 €;580;233;4,4;Color Negro Sólido;2021;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 26.091 km;34.900 €;580;233;4,4;Color Multicapas Rojo;2021;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 1817 km;36.000 €;513;201;6,1;Color Blanco Perla Multicapas;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 676 km;37.000 €;513;201;6,1;Color Blanco Perla Multicapas;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 728 km;37.000 €;513;201;6,1;Color Blanco Perla Multicapas;2024;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 30.168 km;37.100 €;602;233;4,4;Color Multicapas Rojo;2022;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 37.484 km;39.500 €;602;233;4,4;Azul Oscuro Metalizado;2022;España
Model 3;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 29.447 km;42.300 €;547;261;3,3;Color Blanco Perla Multicapas;2023;España
Model 3;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 18.395 km;43.200 €;547;261;3,3;Color Multicapas Rojo;2023;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 15.795 km;45.000 €;629;201;4,4;Pintura en color Gris Sigilo;2024;España
Model X;100D Gran autonomía;Cuentakilómetros con 108.045 km;47.900 €;565;249;4,9;Metalizada azul profundo;2018;España
Model X;Model X, tracción a las cuatro ruedas;Cuentakilómetros con 11.765 km;82.500 €;576;250;3,9;Negro Sólido;2023;España
Model X;Plaid;Cuentakilómetros con 20.074 km;84.000 €;543;262;2,6;Blanco Perla Multicapas;2023;España
Model X;Plaid;Cuentakilómetros con 15.048 km;84.600 €;543;262;2,6;Blanco Perla Multicapas;2023;España
Model X;Plaid;Cuentakilómetros con 21.475 km;85.500 €;543;262;2,6;Plata Medianoche Metalizado;2023;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 12.146 km;40.500 €;430;217;6,9;Pintura Plateado Mercurio;2024;España
Model Y;Performance con tracción a las cuatro ruedas;Cuentakilómetros con 48.582 km;43.800 €;514;250;3,7;Color Negro Sólido;2023;España
