modelo,precio,matriculacion,kilometraje,color,pais
Tesla Model Y Long Range AWD,49340,2024,4,blanco,France
Tesla Model Y Long Range RWD,49530,2025,5,blanco,France
Tesla Model Y Long Range AWD,49770,2025,0,blanco,France
Tesla Model 3 Long Range AWD,49990,2025,0,blanco,France
Tesla Model 3 Long Range AWD,49990,2024,0,blanco,France
Tesla Model Y Long Range AWD,50090,2025,0,blanco,France
Tesla Model Y Long Range AWD,50790,2024,0,blanco,France
Tesla Model Y Long Range AWD,51110,2025,9,blanco,France
Tesla Model 3 Long Range AWD,51180,2025,0,blanco,France
Tesla Model 3 Long Range AWD,51180,2024,0,blanco,France
Tesla Model Y Long Range AWD,51280,2025,0,blanco,France
Tesla Model 3 Long Range AWD,51340,2024,0,blanco,France
Tesla Model Y Long Range AWD,51440,2025,0,blanco,France
Tesla Model Y Long Range AWD,51850,2025,0,blanco,France
Tesla Model 3 Long Range AWD,52080,2024,15,blanco,France
Tesla Model 3 Long Range AWD,52370,2024,0,blanco,France
Tesla Model 3 Long Range AWD,52530,2024,0,blanco,France
Tesla Model Y Long Range AWD,52630,2024,7,blanco,France
Tesla Model Y Long Range AWD,52850,2024,15,blanco,France
Tesla Model 3 Long Range AWD,53790,2024,0,blanco,France
Tesla Model Y Performance,53990,2025,0,blanco,France
Tesla Model X Long Range Plus,54000,2020,53949,blanco,France
Tesla Model X Long Range,54100,2020,91785,blanco,France
Tesla Model 3 Performance,55160,2024,9,blanco,France
Tesla Model Y Performance,55180,2025,4,blanco,France
Tesla Model Y Performance,55180,2024,0,blanco,France
Tesla Model Y Performance,55340,2024,0,blanco,France
Tesla Model 3 Performance,57490,2024,0,blanco,France
Tesla Model Y Performance,57790,2025,0,blanco,France
Tesla Model 3 Performance,58680,2024,0,blanco,France
Tesla Model Y Performance,59140,2025,2,blanco,France
Tesla Model S,83980,2023,3414,blanco,France
Tesla Model S,90200,2024,723,blanco,France
Tesla Model X,103390,2024,21,blanco,France
Tesla Model S Plaid,115290,2024,25,blanco,France
Tesla Model X,117090,2023,0,blanco,France
Tesla Model X Plaid,120890,2024,0,blanco,France
Tesla Model 3 Long Range AWD,30000,2020,56115,azul,France
Tesla Model 3 Standard Range Plus,30900,2021,50581,azul,France
Tesla Model 3 Long Range AWD,31700,2020,22191,azul,France
Tesla Model 3 Long Range AWD,32600,2020,78898,azul,France
Tesla Model 3 Performance,34100,2021,90951,azul,France
Tesla Model 3 Performance,38000,2021,43763,azul,France
Tesla Model 3,40080,2024,13,azul,France
Tesla Model 3,40520,2024,1848,azul,France
Tesla Model 3,40640,2024,807,azul,France
Tesla Model 3,41140,2024,0,azul,France
Tesla Model 3,41170,2024,21,azul,France
Tesla Model 3,41290,2025,0,azul,France
Tesla Model 3,41440,2024,15,azul,France
Tesla Model 3,41440,2024,15,azul,France
Tesla Model 3,41440,2024,29,azul,France
Tesla Model 3,41440,2024,2629,azul,France
Tesla Model 3,42480,2024,0,azul,France
Tesla Model 3,42480,2024,0,azul,France
Tesla Model 3,42640,2025,0,azul,France
Tesla Model 3,42640,2024,0,azul,France
Tesla Model Y Standard Range,43480,2025,5,azul,France
Tesla Model X 100D,44200,2019,114328,azul,France
Tesla Model Y Long Range AWD,49290,2025,0,azul,France
Tesla Model 3 Long Range AWD,49330,2024,0,azul,France
Tesla Model 3 Long Range AWD,50170,2024,1412,azul,France
Tesla Model Y Long Range RWD,50390,2025,4,azul,France
Tesla Model 3 Long Range AWD,50600,2024,15,azul,France
Tesla Model Y Long Range AWD,50640,2025,4,azul,France
Tesla Model 3 Long Range AWD,51290,2025,0,azul,France
Tesla Model 3 Long Range AWD,51290,2024,0,azul,France
Tesla Model Y Long Range AWD,51390,2025,4,azul,France
Tesla Model Y Long Range AWD,51390,2024,7,azul,France
Tesla Model S Long Range,51500,2020,96181,azul,France
Tesla Model Y Long Range AWD,52390,2025,5,azul,France
Tesla Model 3 Long Range AWD,52480,2024,0,azul,France
Tesla Model 3 Long Range AWD,52480,2024,0,azul,France
Tesla Model 3 Long Range AWD,52640,2024,0,azul,France
Tesla Model Y Long Range AWD,53090,2025,4,azul,France
Tesla Model S Long Range,53550,2020,58870,azul,France
Tesla Model Y Performance,55290,2025,5,azul,France
Tesla Model Y Performance,56640,2025,4,azul,France
Tesla Model Y Performance,57830,2025,0,azul,France
Tesla Model 3 Performance,58790,2025,12,azul,France
Tesla Model 3 Performance,62590,2024,19,azul,France
Tesla Model S,89220,2024,1064,azul,France
Tesla Model S Plaid,96400,2023,50,azul,France
Tesla Model X Plaid,113040,2024,401,azul,France
Tesla Model X,118690,2023,60,azul,France
Tesla Model X Plaid,124890,2023,31,azul,France
Tesla Model 3 Performance,31200,2019,55066,negro,France
Tesla Model 3 Performance,33400,2020,63684,negro,France
Tesla Model 3 Performance,33700,2019,51506,negro,France
Tesla Model 3 Long Range RWD,35300,2023,36843,negro,France
Tesla Model 3,36500,2023,28589,negro,France
Tesla Model S 100D,38000,2018,84325,negro,France
Tesla Model 3,41140,2024,15,negro,France
Tesla Model 3,41290,2025,0,negro,France
Tesla Model 3,41290,2024,12,negro,France
Tesla Model S Long Range,41400,2019,102621,negro,France
Tesla Model 3,42080,2024,12,negro,France
Tesla Model 3,42480,2025,0,negro,France
Tesla Model 3,42480,2024,0,negro,France
Tesla Model 3,42640,2025,0,negro,France
Tesla Model 3,42640,2024,0,negro,France
Tesla Model 3,42640,2024,10,negro,France
Tesla Model 3,42640,2024,12,negro,France
Tesla Model Y Standard Range,44390,2025,4,negro,France
Tesla Model Y Standard Range,44390,2024,9,negro,France
Tesla Model S Performance,44500,2019,99838,negro,France
Tesla Model 3 Long Range RWD,46290,2025,0,negro,France
Tesla Model 3 Long Range RWD,47480,2025,9,negro,France
Tesla Model 3 Long Range RWD,47480,2025,12,negro,France
Tesla Model Y Long Range AWD,47830,2024,0,negro,France
Tesla Model 3 Long Range AWD,48500,2024,6166,negro,France
Tesla Model Y Performance,48800,2022,14953,negro,France
Tesla Model Y Long Range AWD,49290,2025,0,negro,France
Tesla Model Y Long Range AWD,49290,2024,0,negro,France
Tesla Model Y Long Range AWD,49290,2024,145,negro,France
Tesla Model Y Long Range AWD,50480,2025,2,negro,France
Tesla Model 3 Long Range AWD,50600,2024,12,negro,France
Tesla Model Y Long Range AWD,50640,2025,0,negro,France
Tesla Model 3 Long Range AWD,51290,2025,0,negro,France
Tesla Model 3 Long Range AWD,51290,2025,10,negro,France
Tesla Model 3 Long Range AWD,51290,2024,0,negro,France
Tesla Model Y Long Range AWD,51390,2025,0,negro,France
Tesla Model Y Long Range AWD,51390,2024,5,negro,France
Tesla Model X P100D,51800,2019,95034,negro,France
Tesla Model Y Long Range AWD,51830,2025,2,negro,France
Tesla Model 3 Long Range AWD,52480,2024,0,negro,France
Tesla Model Y Long Range AWD,52580,2024,7,negro,France
Tesla Model Y Long Range AWD,53090,2025,4,negro,France
Tesla Model Y Long Range AWD,53090,2024,4,negro,France
Tesla Model Y Long Range AWD,53890,2025,4,negro,France
Tesla Model Y Long Range AWD,54280,2025,5,negro,France
Tesla Model Y Long Range AWD,54440,2025,4,negro,France
Tesla Model X Long Range,55000,2019,59026,negro,France
Tesla Model Y Performance,55290,2025,0,negro,France
Tesla Model Y Performance,55290,2024,4,negro,France
Tesla Model Y Performance,56480,2024,5,negro,France
Tesla Model Y Performance,56640,2025,0,negro,France
Tesla Model Y Performance,56640,2024,0,negro,France
Tesla Model 3 Performance,58790,2024,0,negro,France
Tesla Model 3 Performance,59980,2024,0,negro,France
Tesla Model Y Performance,60280,2024,7,negro,France
Tesla Model 3 Performance,62590,2024,10,negro,France
Tesla Model S,87220,2024,5165,negro,France
Tesla Model S Plaid,88500,2023,27477,negro,France
Tesla Model S,92140,2024,31,negro,France
Tesla Model S,102280,2023,1011,negro,France
Tesla Model X,102780,2024,18,negro,France
Tesla Model X,108190,2024,49,negro,France
Tesla Model X,109390,2024,20,negro,France
Tesla Model S Plaid,109940,2024,541,negro,France
Tesla Model X,115290,2024,20,negro,France
Tesla Model S Plaid,115490,2024,17,negro,France
Tesla Model X,118690,2023,23,negro,France
Tesla Model X,119290,2024,20,negro,France
Tesla Model 3 Standard Range Plus,27300,2020,54847,plata,France
Tesla Model S 75D,28600,2018,127132,plata,France
Tesla Model 3 Long Range AWD,29200,2019,65352,plata,France
Tesla Model 3 Standard Range Plus,29500,2021,40244,plata,France
Tesla Model 3 Performance,31300,2020,46586,plata,France
Tesla Model 3 Long Range AWD,32600,2019,45587,plata,France
Tesla Model 3 Performance,33500,2021,88254,plata,France
Tesla Model 3 Performance,39200,2020,30295,plata,France
Tesla Model X 100D,43200,2018,91833,plata,France
Tesla Model 3 Performance,45900,2023,12996,plata,France
Tesla Model S Long Range,45900,2019,56744,plata,France
Tesla Model 3 Performance,46000,2023,28590,plata,France
Tesla Model X Long Range Plus,47000,2020,130467,plata,France
Tesla Model X 100D,48500,2019,75286,plata,France
Tesla Model X Long Range,49000,2019,98188,plata,France
Tesla Model X 100D,49900,2018,52351,plata,France
Tesla Model X 100D,51400,2019,84586,plata,France
Tesla Model X Long Range,53800,2019,64177,plata,France
Tesla Model X Performance,55500,2020,124770,plata,France
Tesla Model X 100D,56000,2019,55363,plata,France
Tesla Model X,91000,2023,12384,plata,France
Tesla Model X,109290,2023,86,plata,France
Tesla Model 3 Long Range AWD,29000,2021,136796,rojo,France
Tesla Model 3,29900,2022,68266,rojo,France
Tesla Model 3 Long Range AWD,30200,2021,91051,rojo,France
Tesla Model 3 Long Range AWD,33700,2021,64707,rojo,France
Tesla Model 3 Performance,34100,2020,38031,rojo,France
Tesla Model 3,34600,2023,40947,rojo,France
Tesla Model 3 Performance,36900,2021,42177,rojo,France
Tesla Model Y Long Range AWD,44500,2023,10713,rojo,France
Tesla Model S Performance,44700,2019,90274,rojo,France
Tesla Model 3,38780,2024,3906,rojo,France
Tesla Model 3,41830,2024,0,rojo,France
Tesla Model 3,41850,2024,52,rojo,France
Tesla Model 3,41900,2024,10,rojo,France
Tesla Model 3,41990,2025,0,rojo,France
